"","V","Variante","n"
"1","A","<U+025B><U+035C>a",1
"2","A","<U+028A>",1
"3","A","b",1
"4","A","çx",1
"5","A","e",1
"6","A","f",1
"7","A","Ø",1
"8","A","s",1
"9","A","t<U+02B0>",1
"10","A","y",1
"11","A<U+02D0>","<U+0254>",1
"12","A<U+02D0>","<U+025B>",1
"13","A<U+02D0>","<U+026A>",1
"14","A<U+02D0>","<U+028A><U+02D0>",1
"15","A<U+02D0>","g°",1
"16","A<U+02D0>","Ø",1
"17","A<U+02D0>","o<U+02D0>",1
"18","A<U+02D0>","œ<U+02D0>",1
"19","AI","<U+028A>",1
"20","AI","a<U+02D0>",1
"21","AI","e<U+035C>i<U+0306>",1
"22","AU","<U+0254>",1
"23","AU","<U+0254><U+0306><U+035C>o",1
"24","AU","<U+0259>",1
"25","AU","g°",1
"26","AU","u<U+02D0>",1
"27","AU","v",1
"28","AU","y<U+02D0>",1
"29","B","ç",1
"30","B","f",1
"31","B","m",1
"32","B","v<U+0325>",1
"33","F","b<U+0325>",1
"34","F","v",1
"35","G","b",1
"36","I","<U+025B>",1
"37","I","<U+028A>",1
"38","I","ç<U+02E0>",1
"39","I","e<U+02D0>",1
"40","I","i<U+02D0>",1
"41","I","n",1
"42","I","u<U+02D1><U+02D0>",1
"43","I","v<U+0325>",1
"44","I<U+02D0>","b",1
"45","I<U+02D0>","e<U+02D0>",1
"46","I<U+02D0>","p<U+02B0>",1
"47","I<U+02D0>","y<U+02D0>",1
"48","OI","<U+0254><U+035C><U+02D1><U+025E>",1
"49","OI","<U+028A>",1
"50","OI","œ<U+02D0>",1
"51","PPf","ç<U+02E0>",1
"52","PPf","çx",1
"53","PPf","Ø",1
"54","S","x",1
"55","U","<U+0254>",1
"56","U","a",1
"57","U","o<U+02D1><U+02D0>",1
"58","U","œ<U+02D0>",1
"59","U<U+02D0>","<U+0250>",1
"60","U<U+02D0>","<U+0254>",1
"61","U<U+02D0>","e<U+02D0>",1
"62","U<U+02D0>","o<U+035C><U+028A>",1
"63","A","<U+0254>",2
"64","A<U+02D0>","o<U+0306><U+035C>a",2
"65","AI","çx",2
"66","AU","<U+028A>",2
"67","AU","<U+028C><U+035C><U+02D1><U+0254>",2
"68","AU","<U+028F><U+02D0>",2
"69","CH","ç<U+02E0>",2
"70","F","v<U+0325>",2
"71","G","<U+0270>",2
"72","G","k",2
"73","I","k<U+02B0>",2
"74","I<U+02D0>","<U+0511>",2
"75","OI","œ<U+035C><U+02D1><U+025B>",2
"76","U","<U+025B>",2
"77","U","<U+026A>",2
"78","U","Ø",2
"79","A","<U+026A>",3
"80","A<U+02D0>","<U+028C><U+02D0>",3
"81","A<U+02D0>","çx",3
"82","AI","<U+0250>",3
"83","AI","<U+025B>",3
"84","AI","<U+025B><U+0306><U+035C>e",3
"85","AI","æ<U+035C><U+02D1><U+025B>",3
"86","I","Ø",3
"87","OI","<U+026A>",3
"88","U<U+02D0>","o",3
"89","AU","f",4
"90","AU","o<U+02D0>",4
"91","B","p<U+02B0>",4
"92","B","v",4
"93","F","b",4
"94","OI","<U+0254><U+035C><U+02D1>œ",4
"95","U","<U+0259>",4
"96","A<U+02D0>","<U+0254><U+02D0>",5
"97","AU","çx",5
"98","OI","<U+0254><U+035C>œ",5
"99","S","Ø",5
"100","A<U+02D0>","b<U+0325>",6
"101","AI","i<U+02D0>",6
"102","AU","<U+028C><U+035C><U+0254>",6
"103","S","z<U+0325>",6
"104","U<U+02D0>","<U+028A>",6
"105","U<U+02D0>","o<U+02D0>",6
"106","A","z<U+0325>",7
"107","AI","<U+025B><U+02D0>",7
"108","AI","<U+026A>",7
"109","CH","k<U+02B0>",7
"110","AI","e<U+02D0>",8
"111","AU","a<U+035C><U+02D1><U+0254>",8
"112","A","<U+025B>",9
"113","AI","a<U+035C><U+02D1><U+025B>",9
"114","I","<U+0259>",9
"115","S","s",9
"116","AI","<U+0259>",10
"117","I","<U+028F>",10
"118","S","t<U+02B0>",10
"119","A","<U+0259>",11
"120","PPf","g",12
"121","B","b<U+0325>",13
"122","U","u<U+02D1><U+02D0>",13
"123","A","d<U+0325>",14
"124","F","f",15
"125","A<U+02D0>","b",16
"126","I","g°",19
"127","I<U+02D0>","<U+0259>",19
"128","A","a<U+02D0>",20
"129","PPf","GE",20
"130","U<U+02D0>","<U+0259>",23
"131","AI","Ø",24
"132","AU","a<U+035C><U+035C><U+0254>",27
"133","I","i<U+02D1>",29
"134","I<U+02D0>","<U+026A>",29
"135","U<U+02D0>","u<U+02D0>",29
"136","CH","g°",30
"137","CH","Ø",37
"138","U","<U+028A>",37
"139","U","o",38
"140","I","çx",42
"141","B","b",44
"142","AI","a<U+035C><U+025B>",45
"143","A<U+02D0>","<U+025B><U+026A>",47
"144","A<U+02D0>","a<U+02D0>",56
"145","G","g",71
"146","I<U+02D0>","i<U+02D0>",87
"147","S","d<U+0325>",90
"148","A<U+02D0>","<U+0250>",113
"149","CH","çx",162
"150","I","<U+026A>",216
"151","A","<U+0250>",228
